Date,Action,Cash,Equity,Price
2024-05-08,BUY 2.0 @ 406.47,53.46,2.0,406.47
2024-05-09,HOLD,53.46,2.0,406.25
2024-05-10,HOLD,53.46,2.0,409.85
2024-05-13,HOLD,53.46,2.0,414.06
2024-05-14,HOLD,53.46,2.0,410.45
2024-05-15,HOLD,53.46,2.0,410.51
2024-05-16,HOLD,53.46,2.0,413.8
2024-05-17,HOLD,53.46,2.0,413.98
2024-05-20,HOLD,53.46,2.0,417.04
2024-05-21,HOLD,53.46,2.0,413.59
2024-05-22,HOLD,53.46,2.0,414.95
2024-05-23,HOLD,53.46,2.0,413.25
2024-05-24,HOLD,53.46,2.0,406.9
2024-05-28,HOLD,53.46,2.0,408.24
2024-05-29,SELL 2.0 @ 403.00,859.46,0.0,403.0
2024-05-30,HOLD,859.46,0.0,403.77
2024-05-31,HOLD,859.46,0.0,408.09
2024-06-03,HOLD,859.46,0.0,414.89
2024-06-04,HOLD,859.46,0.0,414.85
2024-06-05,BUY 2.0 @ 410.10,39.26,2.0,410.1
2024-06-06,HOLD,39.26,2.0,410.42
2024-06-07,HOLD,39.26,2.0,411.28
2024-06-10,HOLD,39.26,2.0,413.34
2024-06-11,SELL 2.0 @ 408.88,857.02,0.0,408.88
2024-06-12,HOLD,857.02,0.0,411.09
2024-06-13,HOLD,857.02,0.0,407.63
2024-06-14,HOLD,857.02,0.0,404.9
2024-06-17,HOLD,857.02,0.0,405.18
2024-06-18,HOLD,857.02,0.0,406.745
2024-06-20,HOLD,857.02,0.0,407.25
2024-06-21,HOLD,857.02,0.0,409.82
2024-06-24,BUY 2.0 @ 410.70,35.62,2.0,410.7
2024-06-25,HOLD,35.62,2.0,414.0
2024-06-26,HOLD,35.62,2.0,410.02
2024-06-27,HOLD,35.62,2.0,410.26
2024-06-28,HOLD,35.62,2.0,408.25
2024-07-01,SELL 2.0 @ 408.09,851.8,0.0,408.09
2024-07-02,HOLD,851.8,0.0,404.02
2024-07-03,HOLD,851.8,0.0,407.16
2024-07-05,HOLD,851.8,0.0,406.24
2024-07-08,HOLD,851.8,0.0,411.27
2024-07-09,BUY 2.0 @ 409.42,32.96,2.0,409.42
2024-07-10,HOLD,32.96,2.0,410.81
2024-07-11,HOLD,32.96,2.0,413.99
2024-07-12,HOLD,32.96,2.0,420.23
2024-07-15,HOLD,32.96,2.0,425.59
2024-07-16,HOLD,32.96,2.0,437.4
2024-07-17,HOLD,32.96,2.0,437.85
2024-07-18,HOLD,32.96,2.0,445.62
2024-07-19,HOLD,32.96,2.0,442.67
2024-07-22,HOLD,32.96,2.0,435.05
2024-07-23,HOLD,32.96,2.0,437.34
2024-07-24,HOLD,32.96,2.0,433.99
2024-07-25,HOLD,32.96,2.0,431.6
2024-07-26,HOLD,32.96,2.0,435.66
2024-07-29,HOLD,32.96,2.0,438.01
2024-07-30,HOLD,32.96,2.0,439.51
2024-07-31,HOLD,32.96,2.0,439.85
2024-08-01,HOLD,32.96,2.0,439.67
2024-08-02,HOLD,32.96,2.0,429.77
2024-08-05,SELL 2.0 @ 413.43,859.82,0.0,413.43
2024-08-06,HOLD,859.82,0.0,416.41
2024-08-07,HOLD,859.82,0.0,426.07
2024-08-08,HOLD,859.82,0.0,429.24
2024-08-09,HOLD,859.82,0.0,431.92
2024-08-12,HOLD,859.82,0.0,434.16
2024-08-13,HOLD,859.82,0.0,431.83
2024-08-14,BUY 1.0 @ 433.00,426.82,1.0,433.0
2024-08-15,HOLD,426.82,1.0,441.8
2024-08-16,HOLD,426.82,1.0,441.55
2024-08-19,HOLD,426.82,1.0,446.01
2024-08-20,HOLD,426.82,1.0,449.3
2024-08-21,HOLD,426.82,1.0,449.84
2024-08-22,HOLD,426.82,1.0,446.3
2024-08-23,HOLD,426.82,1.0,450.0
2024-08-26,HOLD,426.82,1.0,455.305
2024-08-27,HOLD,426.82,1.0,455.94
2024-08-28,HOLD,426.82,1.0,461.17
2024-08-29,HOLD,426.82,1.0,467.11
2024-08-30,HOLD,426.82,1.0,470.52
2024-09-03,HOLD,426.82,1.0,475.0
2024-09-04,HOLD,426.82,1.0,478.68
2024-09-05,HOLD,426.82,1.0,479.43
2024-09-06,HOLD,426.82,1.0,463.82
2024-09-09,HOLD,426.82,1.0,463.97
2024-09-10,HOLD,426.82,1.0,461.82
2024-09-11,HOLD,426.82,1.0,457.62
2024-09-12,SELL 1.0 @ 454.84,881.66,0.0,454.84
2024-09-13,HOLD,881.66,0.0,451.58
2024-09-16,HOLD,881.66,0.0,448.8
2024-09-17,HOLD,881.66,0.0,453.5
2024-09-18,HOLD,881.66,0.0,458.08
2024-09-19,HOLD,881.66,0.0,462.0
2024-09-20,HOLD,881.66,0.0,457.76
2024-09-23,HOLD,881.66,0.0,457.31
2024-09-24,HOLD,881.66,0.0,454.33
2024-09-25,HOLD,881.66,0.0,454.9
2024-09-26,HOLD,881.66,0.0,452.74
2024-09-27,HOLD,881.66,0.0,456.04
2024-09-30,HOLD,881.66,0.0,458.4
2024-10-01,HOLD,881.66,0.0,459.11
2024-10-02,BUY 1.0 @ 458.70,422.96,1.0,458.7
2024-10-03,HOLD,422.96,1.0,455.47
2024-10-04,HOLD,422.96,1.0,455.01
2024-10-07,HOLD,422.96,1.0,462.34
2024-10-08,HOLD,422.96,1.0,455.96
2024-10-09,HOLD,422.96,1.0,452.75
2024-10-10,HOLD,422.96,1.0,457.5
2024-10-11,SELL 1.0 @ 455.90,878.86,0.0,455.9
2024-10-14,BUY 1.0 @ 461.92,416.94,1.0,461.92
2024-10-15,HOLD,416.94,1.0,460.99
2024-10-16,HOLD,416.94,1.0,463.25
2024-10-17,HOLD,416.94,1.0,466.1
2024-10-18,HOLD,416.94,1.0,467.0
2024-10-21,HOLD,416.94,1.0,464.53
2024-10-22,HOLD,416.94,1.0,464.11
2024-10-23,HOLD,416.94,1.0,460.15
2024-10-24,HOLD,416.94,1.0,460.9
2024-10-25,HOLD,416.94,1.0,458.6
2024-10-28,SELL 1.0 @ 455.59,872.53,0.0,455.59
2024-10-29,HOLD,872.53,0.0,458.6
2024-10-30,HOLD,872.53,0.0,454.67
2024-10-31,HOLD,872.53,0.0,455.19
2024-11-01,HOLD,872.53,0.0,451.49
2024-11-04,HOLD,872.53,0.0,450.37
2024-11-05,HOLD,872.53,0.0,442.29
2024-11-06,HOLD,872.53,0.0,461.0
2024-11-07,HOLD,872.53,0.0,468.27
2024-11-08,HOLD,872.53,0.0,461.98
2024-11-11,BUY 1.0 @ 466.01,406.52,1.0,466.01
2024-11-12,HOLD,406.52,1.0,467.69
2024-11-13,HOLD,406.52,1.0,466.41
2024-11-14,HOLD,406.52,1.0,468.81
2024-11-15,HOLD,406.52,1.0,466.74
2024-11-18,HOLD,406.52,1.0,470.98
2024-11-19,HOLD,406.52,1.0,470.77
2024-11-20,HOLD,406.52,1.0,470.0
2024-11-21,HOLD,406.52,1.0,469.445
2024-11-22,HOLD,406.52,1.0,472.27
2024-11-25,HOLD,406.52,1.0,479.13
2024-11-26,HOLD,406.52,1.0,478.2
2024-11-27,HOLD,406.52,1.0,481.0
2024-11-29,HOLD,406.52,1.0,485.37
2024-12-02,HOLD,406.52,1.0,484.8
2024-12-03,HOLD,406.52,1.0,478.16
