Date, Open, High, Low, Close, Volume
07/17/24, 437.85, 446.15, 437.84, 445.61, 4776601
07/16/24, 437.40, 439.0516, 434.0201, 438.90, 4293707
07/15/24, 425.59, 434.71, 425.30, 434.42, 4594912
07/12/24, 420.23, 427.45, 419.70, 424.44, 4834635
07/11/24, 413.99, 419.20, 412.00, 418.78, 4073570
07/10/24, 410.81, 413.96, 409.40, 413.79, 3791805
07/09/24, 409.42, 413.71, 408.64, 410.52, 2990262
07/08/24, 411.27, 413.7855, 408.00, 409.08, 3559529
07/05/24, 406.24, 411.40, 405.03, 411.17, 5153464
07/03/24, 407.16, 407.16, 404.22, 405.77, 1970259
07/02/24, 404.02, 407.39, 403.92, 407.10, 3221572
07/01/24, 408.09, 409.67, 403.82, 405.19, 2976899
06/28/24, 408.25, 410.05, 405.79, 406.80, 6820908
06/27/24, 410.26, 410.26, 406.34, 407.95, 3220281
06/26/24, 410.02, 410.68, 407.25, 410.26, 3335507
06/25/24, 414.00, 414.25, 409.62, 410.97, 3883522
06/24/24, 410.70, 417.00, 410.00, 413.98, 4935716
06/21/24, 409.82, 410.4673, 407.68, 409.62, 9012935
06/20/24, 407.25, 411.00, 404.05, 409.15, 4845563
06/18/24, 406.745, 408.50, 405.28, 407.95, 4006848
06/17/24, 405.18, 407.815, 403.5501, 407.32, 3408255
06/14/24, 404.90, 406.34, 403.33, 405.54, 2772449
06/13/24, 407.63, 408.00, 403.5711, 405.92, 4566105
06/12/24, 411.09, 411.891, 407.16, 408.77, 3554031
06/11/24, 408.88, 408.91, 406.11, 408.50, 3610600
06/10/24, 413.34, 413.94, 409.27, 410.81, 2668443
06/07/24, 411.28, 415.88, 409.8451, 413.72, 2943072
06/06/24, 410.42, 411.24, 407.38, 411.08, 3447914
06/05/24, 410.10, 410.275, 405.77, 409.85, 2643906
06/04/24, 414.85, 415.89, 406.4401, 409.53, 4157980
06/03/24, 414.89, 416.72, 408.78, 414.79, 4905810
05/31/24, 408.09, 415.40, 406.88, 414.40, 5197520
05/30/24, 403.77, 409.04, 402.7701, 408.61, 2907090
05/29/24, 403.00, 405.87, 401.58, 404.09, 3428787
